Место,Страна,Команда,М,В,Н,П,ГЗ,ГП,GD,Pts,xG,xGA,xGD,xGD/90,Attendance,Top Team Scorer,Goalkeeper,Notes
GR,sk, Spartak Trnava,6,2,1,3,4,7,-3,7,3.3,7.6,-4.3,-0.85,9509,Vakhtang Chanturishvili Kubilay Yilmaz... - 1,Martin Chudý,
GR,sct, Rangers,6,1,3,2,8,8,0,6,6.4,7.3,-0.9,-0.14,48924,Alfredo Morelos - 2,Allan McGregor,
GR,dk, FC Copenhagen,6,1,2,3,3,5,-2,5,4.5,5.1,-0.7,-0.11,19295,Pieros Sotiriou - 2,Stephan Andersen,
GR,cz, Jablonec,6,1,2,3,6,8,-2,5,6.5,7.7,-1.2,-0.20,4899,Michal Trávník - 2,Vlastimil Hrubý,
GR,ru, Spartak Moscow,6,1,2,3,8,12,-4,5,7.6,8.7,-1.1,-0.18,21433,Zé Luís - 3,Aleksandr Maksimenko,
GR,no, Sarpsborg 08,6,1,2,3,8,13,-5,5,9.3,7.3,+1.9,+0.32,7976,Patrick Mortensen - 3,Aleksandr Vasyutin,
GR,cy, AÉK Lárnaka,6,1,2,3,6,12,-6,5,4.9,8.4,-3.5,-0.58,2463,Ivan Tričkovski - 2,Toño Ramírez,
GR,bg, Ludogorets,6,0,4,2,5,7,-2,4,5.5,5.8,-0.3,-0.05,4970,Marcelinho - 2,Renan dos Santos,
GR,be, Anderlecht,6,0,3,3,2,7,-5,3,5.1,6.7,-1.6,-0.27,11164,Zakaria Bakkali - 2,Thomas Didillon,
GR,gr, PAOK,6,1,0,5,5,12,-7,3,5.5,7.6,-2.1,-0.35,17637,Aleksandar Prijović Léo Jabá - 2,Alexandros Paschalakis,
GR,ua,Vorskla Poltava,6,1,0,5,4,13,-9,3,2.2,11.4,-9.2,-1.53,7771,Vladyslav Kulach - 2,Bohdan Shust,
GR,az, Qarabağ Ağdam,6,1,0,5,2,13,-11,3,3.8,8.5,-4.7,-0.79,30426,Abdellah Zoubir Araz Abdullayev - 1,Vagner da Silva,
GR,fr, Marseille,6,0,1,5,6,16,-10,1,6.9,9.5,-2.6,-0.43,13735,Dimitri Payet Florian Thauvin - 2,Yohann Pelé,
GR,no, Rosenborg,6,0,1,5,4,14,-10,1,3.0,13.4,-10.4,-1.73,13482,Tore Reginiussen Samuel Adegbenro... - 1,André Hansen,
GR,tr, Akhisarspor,6,0,1,5,4,14,-10,1,6.6,9.3,-2.7,-0.45,5220,Onur Ayık - 2,Milan Lukač,
GR,lu, F91 Dudelange,6,0,1,5,3,16,-13,1,1.6,13.8,-12.2,-2.04,6805,David Turpel Dominik Stolz... - 1,Landry Bonnefoi,
